Date,Month,Channel,Campaign,Device,Visitors,Leads,Qualified_Leads,Proposals,Customers,Avg_Deal_Value,Revenue,Ad_Spend,ROI_%
2024-05-24,2024-05,Organic Search,Retargeting,Mobile,183,54,28,12,6,520,3120,938.52,232.4
2024-03-29,2024-03,Social Media,Brand Awareness,Desktop,444,74,29,11,3,801,2403,1588.78,51.2
2024-06-16,2024-06,Social Media,Retargeting,Mobile,233,36,13,4,1,1085,1085,232.92,365.8
2024-03-02,2024-03,Referral,Newsletter,Mobile,493,213,129,74,43,1461,62823,8177.07,668.3
2024-08-09,2024-08,Paid Ads,Product Launch,Mobile,167,43,16,6,2,1021,2042,855.27,138.8
2024-11-16,2024-11,Organic Search,Product Launch,Desktop,172,54,26,14,6,723,4338,1829.52,137.1
2024-05-07,2024-05,Paid Ads,Retargeting,Desktop,184,53,20,9,3,1956,5868,399.09,1370.3
2024-06-07,2024-06,Paid Ads,Product Launch,Tablet,248,77,31,12,4,1618,6472,1187.34,445.1
2024-11-16,2024-11,Referral,Summer Sale,Mobile,319,175,131,92,56,1120,62720,3279.5,1812.5
2024-12-19,2024-12,Paid Ads,Summer Sale,Tablet,249,78,27,11,3,452,1356,650.52,108.4
2024-02-28,2024-02,Referral,Retargeting,Mobile,240,104,62,42,28,263,7364,3732.56,97.3
2024-12-01,2024-12,Organic Search,Summer Sale,Mobile,333,98,54,23,11,711,7821,907.48,761.8
2024-04-24,2024-04,Paid Ads,Brand Awareness,Desktop,412,102,45,18,6,511,3066,3721.98,-17.6
2024-08-07,2024-08,Social Media,Brand Awareness,Desktop,189,37,11,4,1,514,514,345.21,48.9
2024-12-20,2024-12,Organic Search,Retargeting,Mobile,424,145,90,46,21,1928,40488,3335.0,1114.0
2024-09-17,2024-09,Social Media,Newsletter,Mobile,405,74,24,10,3,1355,4065,1143.3,255.5
2024-12-18,2024-12,Organic Search,Summer Sale,Mobile,486,175,107,55,21,1944,40824,4033.75,912.1
2024-04-01,2024-04,Organic Search,Brand Awareness,Mobile,319,108,68,33,15,727,10905,1108.08,884.1
2024-09-25,2024-09,Organic Search,Brand Awareness,Tablet,463,130,65,35,14,928,12992,704.6,1743.9
2024-12-10,2024-12,Email Campaign,Retargeting,Mobile,468,205,116,60,29,463,13427,5748.2,133.6
2024-01-24,2024-01,Organic Search,Summer Sale,Desktop,190,58,36,19,8,1516,12128,1437.82,743.5
2024-01-25,2024-01,Paid Ads,Retargeting,Desktop,358,111,44,16,5,1329,6645,2544.12,161.2
2024-05-19,2024-05,Paid Ads,Retargeting,Desktop,402,99,45,18,6,976,5856,2360.16,148.1
2024-03-21,2024-03,Organic Search,Summer Sale,Mobile,474,158,91,39,20,634,12680,5417.82,134.0
2024-03-28,2024-03,Organic Search,Brand Awareness,Tablet,163,48,26,12,6,853,5118,1747.2,192.9
2024-05-29,2024-05,Social Media,Summer Sale,Desktop,131,22,6,2,0,1585,0,198.22,-100.0
2024-11-29,2024-11,Referral,Product Launch,Mobile,483,212,154,110,62,745,46190,6747.96,584.5
2024-07-14,2024-07,Organic Search,Retargeting,Mobile,283,95,50,23,8,1536,12288,662.15,1755.8
2024-05-14,2024-05,Email Campaign,Summer Sale,Mobile,364,144,85,53,27,1304,35208,1566.72,2147.2
2024-10-28,2024-10,Social Media,Product Launch,Desktop,444,89,27,9,2,1495,2990,1970.46,51.7
2024-09-07,2024-09,Organic Search,Retargeting,Tablet,242,75,47,24,12,1796,21552,1410.75,1427.7
2024-03-04,2024-03,Email Campaign,Newsletter,Mobile,161,73,49,27,14,936,13104,1291.37,914.7
2024-11-17,2024-11,Organic Search,Newsletter,Desktop,390,133,63,35,15,1388,20820,5087.25,309.3
2024-10-31,2024-10,Organic Search,Newsletter,Mobile,408,113,55,25,11,543,5973,3134.62,90.5
2024-06-08,2024-06,Paid Ads,Brand Awareness,Mobile,190,50,20,8,2,890,1780,329.5,440.2
2024-10-14,2024-10,Email Campaign,Newsletter,Desktop,321,114,77,43,22,308,6776,579.12,1070.1
2024-01-28,2024-01,Organic Search,Retargeting,Tablet,151,53,28,11,4,450,1800,713.38,152.3
2024-11-03,2024-11,Email Campaign,Summer Sale,Tablet,453,187,110,59,34,528,17952,3698.86,385.3
2024-04-25,2024-04,Paid Ads,Brand Awareness,Desktop,130,39,14,5,1,1997,1997,559.65,256.8
2024-11-23,2024-11,Paid Ads,Newsletter,Mobile,303,73,27,11,4,1973,7892,2041.81,286.5
2024-02-20,2024-02,Organic Search,Product Launch,Mobile,164,50,27,15,6,1576,9456,292.5,3132.8
2024-09-27,2024-09,Social Media,Product Launch,Desktop,102,19,7,2,0,1595,0,656.64,-100.0
2024-05-11,2024-05,Organic Search,Retargeting,Mobile,404,143,88,45,19,806,15314,1454.31,953.0
2024-09-02,2024-09,Email Campaign,Brand Awareness,Mobile,286,127,81,48,22,1149,25278,4820.92,424.3
2024-08-13,2024-08,Email Campaign,Newsletter,Desktop,297,119,81,47,25,475,11875,3242.75,266.2
2024-03-21,2024-03,Paid Ads,Product Launch,Desktop,195,60,25,10,3,722,2166,1123.8,92.7
2024-03-20,2024-03,Organic Search,Brand Awareness,Desktop,330,91,47,21,8,1695,13560,2575.3,426.5
2024-02-22,2024-02,Organic Search,Product Launch,Desktop,418,149,91,43,21,1634,34314,823.97,4064.5
2024-08-13,2024-08,Paid Ads,Brand Awareness,Desktop,283,89,39,15,5,1647,8235,910.47,804.5
2024-12-13,2024-12,Organic Search,Product Launch,Mobile,218,71,43,23,9,1386,12474,2066.81,503.5
2024-09-09,2024-09,Social Media,Newsletter,Desktop,332,53,17,7,2,1450,2900,2077.6,39.6
2024-03-04,2024-03,Referral,Summer Sale,Mobile,159,86,54,30,19,1448,27512,2756.3,898.1
2024-12-18,2024-12,Organic Search,Product Launch,Mobile,194,58,33,18,9,1349,12141,2194.14,453.3
2024-11-11,2024-11,Organic Search,Retargeting,Mobile,147,43,21,11,4,452,1808,333.25,442.5
2024-09-09,2024-09,Paid Ads,Retargeting,Mobile,471,121,49,22,7,1329,9303,3195.61,191.1
2024-09-11,2024-09,Email Campaign,Summer Sale,Desktop,103,42,24,11,5,1273,6365,1435.56,343.4
2024-06-30,2024-06,Paid Ads,Product Launch,Desktop,232,66,29,11,4,255,1020,2003.76,-49.1
2024-10-02,2024-10,Paid Ads,Newsletter,Mobile,90,23,9,4,1,204,204,873.77,-76.7
2024-08-20,2024-08,Paid Ads,Retargeting,Tablet,90,26,9,4,1,1250,1250,1019.98,22.6
2024-11-24,2024-11,Referral,Retargeting,Desktop,191,107,81,47,31,696,21576,4079.91,428.8
2024-07-27,2024-07,Social Media,Product Launch,Mobile,366,73,26,9,2,1333,2666,559.91,376.1
2024-12-12,2024-12,Referral,Retargeting,Desktop,362,167,101,74,37,752,27824,4509.0,517.1
2024-09-12,2024-09,Email Campaign,Newsletter,Desktop,97,37,20,10,5,672,3360,638.25,426.4
2024-06-17,2024-06,Paid Ads,Retargeting,Mobile,388,95,37,13,5,1979,9895,2670.45,270.5
2024-10-09,2024-10,Email Campaign,Retargeting,Desktop,256,106,62,37,19,1403,26657,2491.0,970.1
2024-02-15,2024-02,Email Campaign,Newsletter,Mobile,267,97,66,34,16,1410,22560,2510.36,798.7
2024-01-31,2024-01,Social Media,Retargeting,Tablet,358,65,23,8,2,640,1280,1702.35,-24.8
2024-09-23,2024-09,Email Campaign,Brand Awareness,Mobile,250,110,71,42,23,1345,30935,1012.0,2956.8
2024-09-28,2024-09,Social Media,Brand Awareness,Desktop,365,74,24,7,2,1848,3696,1339.4,175.9
2024-04-24,2024-04,Organic Search,Retargeting,Mobile,420,150,87,44,22,928,20416,3183.0,541.4
2024-03-15,2024-03,Social Media,Product Launch,Desktop,80,14,4,1,0,1993,0,522.48,-100.0
2024-09-13,2024-09,Social Media,Brand Awareness,Desktop,457,79,25,10,3,1900,5700,2629.91,116.7
2024-02-08,2024-02,Social Media,Brand Awareness,Desktop,398,69,21,7,1,1955,1955,2308.74,-15.3
2024-08-02,2024-08,Social Media,Retargeting,Mobile,113,21,6,2,0,1876,0,348.6,-100.0
2024-05-12,2024-05,Paid Ads,Brand Awareness,Mobile,246,67,28,10,4,1402,5608,2030.77,176.2
2024-11-19,2024-11,Paid Ads,Brand Awareness,Mobile,139,33,14,6,2,525,1050,322.41,225.7
2024-03-10,2024-03,Referral,Product Launch,Mobile,203,94,62,45,24,485,11640,2608.5,346.2
2024-12-14,2024-12,Referral,Summer Sale,Desktop,465,211,142,87,51,877,44727,1069.77,4081.0
2024-08-10,2024-08,Social Media,Retargeting,Desktop,270,45,17,6,2,1390,2780,1665.9,66.9
2024-06-03,2024-06,Organic Search,Brand Awareness,Desktop,337,111,60,33,17,1619,27523,2190.03,1156.7
2024-07-09,2024-07,Organic Search,Product Launch,Desktop,283,78,45,20,9,1836,16524,858.0,1825.9
2024-05-14,2024-05,Social Media,Summer Sale,Mobile,425,85,31,11,3,1450,4350,886.55,390.7
2024-07-24,2024-07,Organic Search,Retargeting,Mobile,478,135,83,44,21,1054,22134,5341.95,314.3
2024-11-12,2024-11,Organic Search,Brand Awareness,Desktop,458,155,85,48,23,1671,38433,3628.55,959.2
2024-06-23,2024-06,Social Media,Newsletter,Desktop,493,77,22,8,2,326,652,510.51,27.7
2024-12-28,2024-12,Social Media,Retargeting,Tablet,422,64,24,9,2,296,592,2245.12,-73.6
2024-07-25,2024-07,Organic Search,Retargeting,Mobile,349,101,62,29,14,1113,15582,1927.08,708.6
2024-01-04,2024-01,Paid Ads,Brand Awareness,Desktop,207,53,20,7,2,805,1610,1869.84,-13.9
2024-04-04,2024-04,Organic Search,Brand Awareness,Tablet,136,43,20,11,5,353,1765,961.05,83.7
2024-10-03,2024-10,Paid Ads,Summer Sale,Tablet,366,89,30,12,4,1537,6148,1577.08,289.8
2024-06-08,2024-06,Organic Search,Brand Awareness,Mobile,312,87,44,20,8,835,6680,2831.85,135.9
2024-05-01,2024-05,Referral,Summer Sale,Mobile,222,105,71,41,27,971,26217,2362.5,1009.7
2024-10-30,2024-10,Social Media,Summer Sale,Desktop,383,76,23,7,2,1397,2794,537.32,420.0
2024-09-25,2024-09,Email Campaign,Newsletter,Desktop,393,187,126,60,27,567,15309,4873.22,214.1
2024-12-14,2024-12,Email Campaign,Summer Sale,Mobile,285,131,76,37,20,1587,31740,3539.62,796.7
2024-07-24,2024-07,Organic Search,Summer Sale,Desktop,345,106,66,31,13,1336,17368,3101.56,460.0
2024-08-15,2024-08,Referral,Retargeting,Tablet,370,177,126,79,52,692,35984,6110.04,488.9
2024-01-04,2024-01,Social Media,Retargeting,Desktop,410,67,20,8,2,1184,2368,704.84,236.0
2024-01-24,2024-01,Organic Search,Product Launch,Desktop,265,78,37,15,7,1781,12467,439.14,2739.0
2024-02-09,2024-02,Organic Search,Summer Sale,Mobile,270,92,48,22,9,1823,16407,1105.84,1383.7
2024-11-07,2024-11,Paid Ads,Newsletter,Mobile,139,39,17,6,2,1021,2042,722.67,182.6
2024-02-25,2024-02,Organic Search,Retargeting,Mobile,427,124,72,41,19,1613,30647,2132.8,1336.9
2024-08-07,2024-08,Social Media,Summer Sale,Tablet,398,63,23,8,2,907,1814,2458.89,-26.2
2024-01-21,2024-01,Paid Ads,Summer Sale,Desktop,167,50,19,8,2,740,1480,1606.0,-7.8
2024-01-01,2024-01,Social Media,Newsletter,Desktop,379,66,23,10,2,1774,3548,547.14,548.5
2024-12-08,2024-12,Organic Search,Retargeting,Mobile,342,115,62,31,12,1075,12900,3851.35,234.9
2024-03-03,2024-03,Organic Search,Product Launch,Desktop,93,32,18,8,3,1622,4866,225.28,2060.0
2024-05-08,2024-05,Social Media,Summer Sale,Desktop,379,69,24,8,2,1190,2380,2283.9,4.2
2024-03-26,2024-03,Email Campaign,Product Launch,Mobile,435,170,99,46,24,1949,46776,1276.7,3563.8
2024-07-30,2024-07,Email Campaign,Brand Awareness,Desktop,368,170,96,52,28,361,10108,2947.8,242.9
2024-02-20,2024-02,Email Campaign,Retargeting,Mobile,97,39,20,10,4,1652,6608,1339.65,393.3
2024-09-24,2024-09,Paid Ads,Newsletter,Tablet,243,73,29,10,3,330,990,404.42,144.8
2024-09-02,2024-09,Paid Ads,Product Launch,Desktop,105,26,8,3,1,1980,1980,594.88,232.8
2024-04-03,2024-04,Organic Search,Newsletter,Desktop,460,167,96,51,21,774,16254,2541.74,539.5
2024-08-05,2024-08,Paid Ads,Product Launch,Mobile,156,41,17,6,2,987,1974,1303.39,51.5
2024-06-08,2024-06,Paid Ads,Product Launch,Mobile,462,134,47,22,8,1286,10288,4864.2,111.5
2024-08-24,2024-08,Social Media,Summer Sale,Mobile,138,23,9,3,0,1059,0,624.45,-100.0
2024-10-14,2024-10,Referral,Brand Awareness,Mobile,233,120,73,49,30,1545,46350,3873.6,1096.6
2024-10-03,2024-10,Referral,Product Launch,Desktop,125,63,46,30,15,596,8940,1787.94,400.0
2024-10-15,2024-10,Organic Search,Retargeting,Mobile,233,85,50,28,12,447,5364,2157.3,148.6
2024-01-01,2024-01,Social Media,Brand Awareness,Desktop,452,72,22,7,2,1331,2662,563.76,372.2
2024-08-29,2024-08,Organic Search,Product Launch,Desktop,245,86,54,29,11,1013,11143,2768.34,302.5
2024-12-07,2024-12,Organic Search,Product Launch,Mobile,353,116,55,31,14,1634,22876,2267.8,908.7
2024-07-30,2024-07,Organic Search,Product Launch,Mobile,358,110,58,27,13,1390,18070,2680.7,574.1
2024-08-25,2024-08,Organic Search,Newsletter,Desktop,336,121,58,31,11,614,6754,4421.34,52.8
2024-10-31,2024-10,Email Campaign,Retargeting,Desktop,436,175,98,58,29,1138,33002,1603.0,1958.8
2024-04-26,2024-04,Paid Ads,Product Launch,Desktop,208,62,21,8,3,1251,3753,2361.58,58.9
2024-10-22,2024-10,Paid Ads,Product Launch,Desktop,162,39,17,7,2,1236,2472,404.82,510.6
2024-09-13,2024-09,Email Campaign,Product Launch,Mobile,363,164,105,63,28,1927,53956,5361.16,906.4
2024-12-02,2024-12,Social Media,Summer Sale,Mobile,269,51,19,6,1,496,496,1126.59,-56.0
2024-04-29,2024-04,Organic Search,Brand Awareness,Mobile,378,114,68,31,14,493,6902,3642.3,89.5
2024-08-30,2024-08,Organic Search,Summer Sale,Mobile,457,133,69,39,15,1830,27450,5198.97,428.0
2024-10-29,2024-10,Organic Search,Summer Sale,Desktop,446,127,79,39,16,931,14896,4488.18,231.9
2024-07-14,2024-07,Email Campaign,Retargeting,Desktop,94,41,25,12,6,829,4974,686.34,624.7
2024-02-08,2024-02,Paid Ads,Summer Sale,Desktop,320,94,36,15,6,208,1248,1007.68,23.8
2024-02-19,2024-02,Organic Search,Newsletter,Mobile,303,88,50,24,12,509,6108,3397.68,79.8
2024-04-17,2024-04,Paid Ads,Product Launch,Desktop,305,79,35,15,6,1044,6264,1523.12,311.3
2024-10-30,2024-10,Email Campaign,Summer Sale,Mobile,198,83,45,25,12,1578,18936,1152.04,1543.7
2024-01-17,2024-01,Organic Search,Summer Sale,Mobile,361,130,76,33,16,873,13968,1859.0,651.4
2024-08-09,2024-08,Referral,Summer Sale,Tablet,119,64,47,31,18,724,13032,522.88,2392.4
2024-05-24,2024-05,Social Media,Brand Awareness,Tablet,317,51,16,5,1,1282,1282,1769.19,-27.5
2024-02-23,2024-02,Organic Search,Summer Sale,Mobile,121,41,24,12,5,666,3330,1164.4,186.0
2024-09-05,2024-09,Organic Search,Brand Awareness,Mobile,118,37,21,8,3,959,2877,892.07,222.5
2024-06-13,2024-06,Organic Search,Product Launch,Mobile,237,76,38,19,9,1796,16164,2354.48,586.5
2024-06-22,2024-06,Organic Search,Newsletter,Mobile,385,140,85,36,15,325,4875,1540.0,216.6
2024-01-25,2024-01,Paid Ads,Retargeting,Desktop,286,78,28,11,4,1554,6216,1140.36,445.1
2024-01-31,2024-01,Social Media,Product Launch,Mobile,389,72,22,7,2,1288,2576,1015.92,153.6
2024-05-25,2024-05,Paid Ads,Retargeting,Mobile,434,117,46,18,7,1998,13986,2908.62,380.8
2024-10-15,2024-10,Email Campaign,Retargeting,Mobile,327,117,78,44,24,931,22344,1194.57,1770.5
2024-06-18,2024-06,Organic Search,Summer Sale,Tablet,469,130,79,36,17,360,6120,985.4,521.1
2024-04-10,2024-04,Paid Ads,Retargeting,Mobile,235,58,21,7,3,700,2100,2041.02,2.9
2024-01-27,2024-01,Referral,Retargeting,Mobile,153,79,56,40,25,1474,36850,1391.19,2548.8
2024-09-20,2024-09,Paid Ads,Product Launch,Mobile,245,67,28,10,3,1179,3537,828.12,327.1
2024-05-21,2024-05,Email Campaign,Summer Sale,Desktop,219,99,67,34,16,1197,19152,2748.24,596.9
2024-08-12,2024-08,Social Media,Retargeting,Desktop,217,34,10,3,0,1124,0,649.4,-100.0
2024-07-19,2024-07,Social Media,Brand Awareness,Desktop,401,70,25,8,2,1851,3702,861.7,329.6
2024-09-23,2024-09,Email Campaign,Summer Sale,Mobile,310,147,78,41,23,1898,43654,886.41,4824.8
2024-10-31,2024-10,Social Media,Summer Sale,Desktop,372,68,22,8,2,1951,3902,760.92,412.8
2024-08-14,2024-08,Organic Search,Brand Awareness,Mobile,353,106,60,26,11,591,6501,1262.46,414.9
2024-01-18,2024-01,Organic Search,Retargeting,Mobile,165,44,23,12,6,371,2226,399.52,457.2
2024-04-29,2024-04,Organic Search,Retargeting,Mobile,264,89,54,26,13,605,7865,3078.51,155.5
2024-07-12,2024-07,Email Campaign,Retargeting,Tablet,321,114,76,43,21,1047,21987,1834.26,1098.7
2024-04-04,2024-04,Paid Ads,Brand Awareness,Mobile,263,72,27,11,3,719,2157,951.84,126.6
2024-04-06,2024-04,Paid Ads,Product Launch,Desktop,134,41,14,5,1,1826,1826,566.62,222.3
2024-07-08,2024-07,Paid Ads,Summer Sale,Desktop,407,117,42,15,5,312,1560,1036.62,50.5
2024-02-26,2024-02,Paid Ads,Newsletter,Desktop,202,50,18,8,3,1932,5796,913.5,534.5
2024-02-21,2024-02,Paid Ads,Newsletter,Mobile,287,90,31,12,4,1655,6620,2120.4,212.2
2024-01-25,2024-01,Paid Ads,Brand Awareness,Mobile,224,68,25,11,4,210,840,1722.44,-51.2
2024-07-27,2024-07,Email Campaign,Newsletter,Mobile,128,48,24,14,7,1001,7007,1184.16,491.7
2024-10-25,2024-10,Referral,Product Launch,Desktop,182,104,77,42,28,1622,45416,1064.96,4164.6
2024-08-25,2024-08,Organic Search,Newsletter,Desktop,310,110,59,32,12,1160,13920,3790.6,267.2
2024-06-05,2024-06,Email Campaign,Summer Sale,Mobile,310,142,86,47,27,1763,47601,2710.78,1656.0
2024-09-16,2024-09,Email Campaign,Retargeting,Tablet,101,40,26,13,7,768,5376,543.6,889.0
2024-06-04,2024-06,Email Campaign,Product Launch,Tablet,494,208,112,56,31,1470,45570,5133.44,787.7
2024-01-26,2024-01,Paid Ads,Product Launch,Mobile,108,26,10,3,1,1138,1138,521.3,118.3
2024-03-11,2024-03,Paid Ads,Retargeting,Tablet,150,40,17,7,2,1568,3136,1410.8,122.3
2024-11-16,2024-11,Organic Search,Product Launch,Desktop,181,61,36,20,8,1223,9784,2335.08,319.0
2024-02-07,2024-02,Organic Search,Brand Awareness,Tablet,84,30,18,8,3,918,2754,598.2,360.4
2024-10-25,2024-10,Organic Search,Retargeting,Desktop,308,104,54,28,11,1463,16093,1982.24,711.9
2024-07-09,2024-07,Organic Search,Brand Awareness,Mobile,305,90,42,20,10,777,7770,619.2,1154.8
2024-10-15,2024-10,Paid Ads,Brand Awareness,Desktop,356,107,40,14,5,761,3805,3342.68,13.8
2024-04-29,2024-04,Organic Search,Retargeting,Desktop,215,77,40,18,8,851,6808,2488.64,173.6
2024-05-19,2024-05,Email Campaign,Newsletter,Tablet,386,174,118,74,43,1520,65360,3812.34,1614.4
2024-11-17,2024-11,Email Campaign,Retargeting,Desktop,450,176,116,72,37,595,22015,3785.76,481.5
2024-07-08,2024-07,Paid Ads,Summer Sale,Mobile,223,67,28,11,4,1260,5040,2007.99,151.0
2024-10-03,2024-10,Social Media,Newsletter,Mobile,456,87,26,9,2,606,1212,3281.64,-63.1
2024-06-12,2024-06,Organic Search,Retargeting,Mobile,475,142,83,38,16,230,3680,2161.24,70.3
2024-07-31,2024-07,Organic Search,Product Launch,Tablet,124,40,25,11,4,261,1044,936.0,11.5
2024-03-19,2024-03,Social Media,Retargeting,Mobile,210,32,12,4,1,550,550,757.76,-27.4
2024-09-15,2024-09,Social Media,Newsletter,Desktop,201,37,13,4,1,1486,1486,317.09,368.6
2024-04-15,2024-04,Paid Ads,Retargeting,Desktop,94,24,10,3,1,581,581,293.04,98.3
2024-05-01,2024-05,Organic Search,Summer Sale,Mobile,207,69,33,16,8,808,6464,854.91,656.1
2024-05-08,2024-05,Organic Search,Brand Awareness,Desktop,498,162,97,42,20,998,19960,2502.9,697.5
2024-12-18,2024-12,Email Campaign,Product Launch,Desktop,255,119,71,33,17,624,10608,629.51,1585.1
2024-03-12,2024-03,Organic Search,Summer Sale,Mobile,498,174,99,44,19,217,4123,3735.78,10.4
2024-02-25,2024-02,Paid Ads,Brand Awareness,Mobile,350,101,38,14,4,1484,5936,3466.32,71.2
2024-02-05,2024-02,Paid Ads,Retargeting,Mobile,86,23,8,3,1,1817,1817,682.41,166.3
2024-02-28,2024-02,Organic Search,Newsletter,Mobile,200,65,38,18,7,1407,9849,1582.1,522.5
2024-06-18,2024-06,Referral,Product Launch,Mobile,355,172,102,62,31,803,24893,6229.84,299.6
2024-05-25,2024-05,Social Media,Newsletter,Mobile,131,24,7,2,0,362,0,919.2,-100.0
2024-09-30,2024-09,Referral,Retargeting,Desktop,238,121,93,56,35,1487,52045,2023.12,2472.5
2024-05-20,2024-05,Social Media,Summer Sale,Mobile,284,57,20,7,1,518,518,582.54,-11.1
2024-02-24,2024-02,Social Media,Summer Sale,Desktop,225,40,15,6,2,1692,3384,527.2,541.9
2024-05-19,2024-05,Organic Search,Product Launch,Mobile,243,69,35,16,7,589,4123,2200.41,87.4
2024-06-17,2024-06,Organic Search,Product Launch,Desktop,497,162,82,43,20,1011,20220,2533.68,698.0
2024-09-03,2024-09,Organic Search,Summer Sale,Desktop,449,132,69,35,14,655,9170,4027.32,127.7
2024-11-20,2024-11,Organic Search,Product Launch,Desktop,406,133,63,30,14,1254,17556,3027.08,480.0
2024-10-18,2024-10,Social Media,Summer Sale,Mobile,455,90,30,12,3,1966,5898,1417.5,316.1
2024-10-27,2024-10,Social Media,Product Launch,Mobile,279,57,20,8,2,907,1814,426.36,325.5
2024-05-16,2024-05,Paid Ads,Retargeting,Mobile,458,111,44,20,7,273,1911,2874.9,-33.5
2024-05-09,2024-05,Email Campaign,Newsletter,Mobile,163,69,40,20,10,1307,13070,1215.09,975.6
2024-10-30,2024-10,Social Media,Brand Awareness,Desktop,179,33,11,4,1,723,723,665.28,8.7
2024-06-14,2024-06,Social Media,Brand Awareness,Mobile,370,61,18,5,1,1527,1527,1923.33,-20.6
2024-02-16,2024-02,Social Media,Brand Awareness,Desktop,102,15,5,1,0,816,0,550.95,-100.0
2024-12-23,2024-12,Paid Ads,Retargeting,Tablet,216,59,21,9,3,829,2487,1323.96,87.8
2024-03-21,2024-03,Social Media,Newsletter,Desktop,214,38,11,3,0,1721,0,1015.36,-100.0
2024-11-24,2024-11,Organic Search,Brand Awareness,Mobile,274,81,44,20,9,1066,9594,2263.14,323.9
2024-01-12,2024-01,Organic Search,Retargeting,Desktop,129,41,25,13,5,204,1020,1627.7,-37.3
2024-08-08,2024-08,Social Media,Product Launch,Mobile,259,41,13,4,1,1840,1840,1014.34,81.4
2024-07-06,2024-07,Social Media,Newsletter,Mobile,449,73,25,10,3,1802,5406,2744.07,97.0
2024-09-01,2024-09,Social Media,Product Launch,Desktop,256,47,15,5,1,1639,1639,1237.98,32.4
2024-02-13,2024-02,Organic Search,Retargeting,Mobile,158,45,25,10,4,413,1652,601.2,174.8
2024-03-03,2024-03,Referral,Product Launch,Tablet,494,249,155,90,55,988,54340,8822.07,516.0
2024-12-18,2024-12,Organic Search,Retargeting,Mobile,89,24,15,7,2,385,770,908.88,-15.3
2024-03-25,2024-03,Organic Search,Newsletter,Desktop,124,40,23,11,4,517,2068,1573.6,31.4
2024-09-01,2024-09,Email Campaign,Brand Awareness,Mobile,89,33,18,8,4,1295,5180,356.73,1352.1
2024-03-01,2024-03,Paid Ads,Newsletter,Desktop,305,91,31,11,4,1533,6132,881.79,595.4
2024-04-09,2024-04,Paid Ads,Brand Awareness,Desktop,462,132,57,22,8,1395,11160,3084.84,261.8
2024-11-09,2024-11,Organic Search,Product Launch,Desktop,432,121,64,29,11,1518,16698,1530.65,990.9
2024-01-30,2024-01,Referral,Newsletter,Mobile,420,203,129,72,46,979,45034,6390.44,604.7
2024-10-25,2024-10,Paid Ads,Summer Sale,Mobile,92,27,11,4,1,1396,1396,834.84,67.2
2024-12-27,2024-12,Organic Search,Retargeting,Desktop,428,144,78,43,18,1350,24300,809.28,2902.7
2024-02-14,2024-02,Social Media,Newsletter,Mobile,196,34,12,4,1,872,872,1249.5,-30.2
2024-03-26,2024-03,Social Media,Newsletter,Mobile,294,58,17,5,1,874,874,1471.46,-40.6
2024-12-02,2024-12,Referral,Newsletter,Desktop,356,162,106,64,41,1635,67035,1994.22,3261.5
2024-01-26,2024-01,Referral,Product Launch,Desktop,210,99,76,51,29,1204,34916,1381.05,2428.2
2024-01-27,2024-01,Referral,Retargeting,Tablet,208,94,63,42,22,756,16632,2516.38,560.9
2024-07-03,2024-07,Referral,Brand Awareness,Desktop,175,100,72,41,24,580,13920,1011.0,1276.9
2024-07-22,2024-07,Organic Search,Retargeting,Mobile,438,129,79,40,18,434,7812,2204.61,254.3
2024-11-18,2024-11,Social Media,Retargeting,Desktop,243,44,15,5,1,708,708,1040.16,-31.9
2024-11-23,2024-11,Social Media,Newsletter,Mobile,246,37,13,4,1,728,728,408.11,78.4
2024-11-13,2024-11,Referral,Newsletter,Desktop,435,211,146,85,47,1114,52358,7349.13,612.4
2024-11-18,2024-11,Social Media,Retargeting,Desktop,93,17,5,1,0,941,0,195.67,-100.0
2024-03-12,2024-03,Organic Search,Product Launch,Desktop,201,62,38,17,7,1768,12376,1767.62,600.2
2024-04-20,2024-04,Paid Ads,Summer Sale,Mobile,322,90,33,15,6,1279,7674,492.3,1458.8
2024-04-15,2024-04,Organic Search,Retargeting,Desktop,370,111,58,29,14,248,3472,2347.65,47.9
2024-01-07,2024-01,Referral,Newsletter,Mobile,269,116,69,49,28,1033,28924,1242.36,2228.1
2024-08-18,2024-08,Email Campaign,Brand Awareness,Desktop,188,90,49,24,13,688,8944,3419.1,161.6
2024-09-12,2024-09,Organic Search,Retargeting,Desktop,315,106,55,27,13,1513,19669,1429.94,1275.5
2024-12-22,2024-12,Paid Ads,Retargeting,Tablet,171,48,21,8,3,1410,4230,531.36,696.1
2024-07-28,2024-07,Social Media,Brand Awareness,Desktop,485,74,22,8,2,288,576,697.08,-17.4
2024-06-03,2024-06,Organic Search,Product Launch,Desktop,138,46,28,12,5,380,1900,1820.22,4.4
2024-08-08,2024-08,Paid Ads,Product Launch,Desktop,398,98,43,16,6,1718,10308,2992.92,244.4
2024-03-15,2024-03,Paid Ads,Product Launch,Mobile,335,100,40,15,5,1886,9430,1037.0,809.4
2024-02-12,2024-02,Paid Ads,Newsletter,Mobile,123,39,13,6,2,1351,2702,664.17,306.8
2024-02-02,2024-02,Organic Search,Summer Sale,Desktop,409,146,89,43,19,891,16929,3683.58,359.6
2024-01-18,2024-01,Social Media,Brand Awareness,Mobile,425,72,28,10,2,1885,3770,1344.24,180.5
2024-09-12,2024-09,Paid Ads,Brand Awareness,Tablet,472,148,52,24,10,1571,15710,2066.08,660.4
